14/06/2010;00:00;167.388875;176.587805;167.343672;174.32685;934792
21/06/2010;00:00;175.526653;177.615198;167.016943;175.948806;1143130
28/06/2010;00:00;175.526653;176.370958;159.129353;160.57356;1207664
05/07/2010;00:00;160.10697;169.927575;157.951769;169.883138;822890
12/07/2010;00:00;169.527641;173.638075;164.972835;168.416713;985723
19/07/2010;00:00;168.238964;175.827818;167.750156;174.332159;146249
26/07/2010;00:00;174.244179;176.113752;167.887632;174.596099;84702
02/08/2010;00:00;174.794054;183.438078;174.376149;178.885119;97182
09/08/2010;00:00;179.237038;180.842671;165.864095;167.139803;183457
16/08/2010;00:00;166.897858;169.42728;161.531085;162.586844;617705
23/08/2010;00:00;162.542854;166.260004;155.636432;166.194019;1265498
30/08/2010;00:00;166.062049;166.238009;157.330045;163.510632;1203732
06/09/2010;00:00;163.422653;168.767431;159.749492;168.019602;926350
13/09/2010;00:00;167.953617;171.648773;160.094884;161.585646;973063
20/09/2010;00:00;161.650462;165.863485;158.971411;165.258539;1007275
27/09/2010;00:00;165.215328;176.622899;163.162829;176.579688;1263359
04/10/2010;00:00;176.471662;182.413105;173.490138;178.999476;1221439
11/10/2010;00:00;179.215528;181.743342;174.462374;176.017952;966644
18/10/2010;00:00;175.823505;179.950351;171.140393;175.534654;1257984
25/10/2010;00:00;175.791879;178.514178;172.598002;174.591496;1191240
01/11/2010;00:00;174.591496;187.409877;174.312836;187.345571;1228464
08/11/2010;00:00;187.324135;189.982128;181.17217;181.622314;1280760
15/11/2010;00:00;181.92241;183.851597;171.79175;174.390459;1150889
22/11/2010;00:00;174.986885;180.056498;171.003616;178.67194;911307
29/11/2010;00:00;178.714542;190.621744;177.96901;190.51524;1262352
06/12/2010;00:00;190.51524;193.326958;185.530829;187.085795;1129879
13/12/2010;00:00;186.766282;190.621744;184.955705;187.61931;850000
20/12/2010;00:00;187.640446;193.664046;185.421224;193.199067;512907
27/12/2010;00:00;192.480462;194.57287;188.147696;193.177931;479864
03/01/2011;00:00;192.987712;195.650778;184.406723;187.006383;1241348
10/01/2011;00:00;188.105425;195.27034;186.266642;193.748588;1085025
17/01/2011;00:00;193.410421;194.46536;185.789471;186.291209;818506
24/01/2011;00:00;186.604795;187.587366;177.928906;187.085628;1270764
